nombre alumno
Adelina Garcia Sanchez
Lupita de Esteban
Maria Barriga Sandoval
Wilfredo Corominas Zabala
Nico Verdugo Blanes
Juliana Jodar
Alberto Herrera Cortez
Diego Luz Alvares
Karina Matamoroz
Alexdr Nikolenko
Jorge Jimenez Palma
Daiara Saldana
David Romero Mendoza
Rafael Alejandro Ramirez Contreras
Javier Cruz Rojas
Fanny Rojas Tello
Christian Oliva Jimenez
Ruben Arturo Hernandez Rosas
Carlos Juarez David
Eugenio Galan Giron
Paulina Arino Portillo
Anastasia Cruz Salazar
Kike Vicens Bou
Javier Aguirre Cruz
Alexandra Navarrete Ramirez
Vania Castellanos Juarez
Dalila Sanmiguel Pedrosa
Rosalva Vargas
Calisto Bolanos Bravo
Hugo Martinez Martinez
Juan Jose Ballesteros Aguirre
